StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q2.1_First Click,Q2.1_Last Click,Q2.1_Page Submit,Q2.1_Click Count,Q2.2_1,Q2.4_First Click,Q2.4_Last Click,Q2.4_Page Submit,Q2.4_Click Count,Q2.3_1,Q2.6_First Click,Q2.6_Last Click,Q2.6_Page Submit,Q2.6_Click Count,Q2.5_1,Q2.8_First Click,Q2.8_Last Click,Q2.8_Page Submit,Q2.8_Click Count,Q2.7_1,Q3.2_First Click,Q3.2_Last Click,Q3.2_Page Submit,Q3.2_Click Count,Q3.1_1,Q3.4_First Click,Q3.4_Last Click,Q3.4_Page Submit,Q3.4_Click Count,Q3.3_1,Q3.6_First Click,Q3.6_Last Click,Q3.6_Page Submit,Q3.6_Click Count,Q3.5_1,Q3.8_First Click,Q3.8_Last Click,Q3.8_Page Submit,Q3.8_Click Count,Q3.7_1,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q4.8,Q4.9,Q4.10,Q4.11,Q4.12,Q4.13,Q4.14,Q4.15,Q4.16,mTurkCode,Q6 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent Form
Introduction
Satisfaction surveys have been used in many countries ""to assess community needs, to guide long-range planning, to guide short-term planning, to assess communication with citizens, to evaluate community services, and to determine policy support."" As part of our graduate study in social sciences, we are conducting satisfaction survey on residences of the United States to better understand if the needs of the communities have been met. 
Procedures
After consenting to the survey, you will be asked four questions ranging from employment opportunities to retirement savings. Please answer using the slider to represent your assessment of the topic. It should not take you longer than 10 minutes.  
Risks
Your participation in this survey is entirely voluntary. There is a risk that you may feel uncomfortable sharing your personal opinion on some topics, however your answers will not be shared with anyone.
Benefits
There will be no direct benefit to you, but your participation is likely to help us gauge the satisfaction of residences living in the United States.
Confidentiality
We will not be sharing information about you to anyone outside of the research team. The information that we collect from this survey will be kept private. Any information about you will have a number on it instead of your name. 
Compensation
You will be compensated based upon the pricing set in Amazon Mechanical Turk, provided a reasonable level of time and effort is taken to read and answer each brief prompt. A code will be messaged to you at the completion of the survey.
I have read, understood, and printed a copy of, the above consent form and desire of my own free will to participate in this survey.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Employment Opportunities

 

Now approaching a decade since the worst of the 2008 financial crisis, a steady recovery in the United States has brought a return of modest, sustained economic growth averaging roughly two percent annually, along with rising wage growth of over three percent. While rapid technological advancement has brought new efficiency and growth opportunities to many segments of the economy, many geographic areas and industries also face difficulties competing in global markets and continuing to provide economic opportunities. Overall, however, the unemployment rate has reached a decade-low of close to four percent in 2018, a level lower than pre-crisis unemployment and considered by some economists to be full employment.

 

How do you feel about the general employment outlook for Americans over the next two decades? - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Education Value




 
When evaluating the state of American secondary education--high-school level and above--the country has had mixed results in improving outcomes for its students, particularly over the last two decades. At the high school level, the national average graduation rate has risen to its highest point ever as of 2016 at 84%, up five percentage points from 2011. Meanwhile, standardized test scores have remained flat while continuing to fall relative to students in Asian countries, especially in STEM studies (Science, Technology, Engineering and Math). With more high school graduates, college attendance has continued to grow at a high rate, with over 20 million active undergraduate students in 2017, up from 15 million students in 2000. This growth in attendance has contributed to a similarly large increase in the price of college education, up over 50% on average since 2000 (after inflation), and an increase in student debt of $1 trillion in the last decade. College graduation rates still lag far behind many other developed nations with only 47% of adults aged 25-34 holding at least an associate's degree.

 

How do you feel about how the education system is preparing students to enter the workforce?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Retirement Savings



 

Among competing priorities of paying for education, a home, medical treatment, and many other necessities of life--particularly when raising a family--saving for retirement often falls toward the bottom of the list. Although many employers have moved to attract talented employees by contributing to retirement funds such as 401(k) accounts, historical market volatility can still add to this anxiety: as we saw in 2000-2001 as well as 2008-2009, stock market crashes and ensuing economic decline can very quickly lead to substantial drops in retirement savings for many Americans. On the other hand, we have seen rapid expansions as well, with total stock indexes growing over 20% in 2017 alone. This volatility in equities has been coupled with historically-low interest rates over the last decade, leading to low returns for fixed income earners.




How do you feel about your prospects for saving enough for retirement?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Cybersecurity Threats 



With recent advancements in computational technology and access to electronics and internet connectivity, there are new cybersecurity threats to many nations and their peoples around the world. In the United States over the last several years alone, there have been numerous attempts, some successful, by foreign actors to steal private and government data and disrupt societal norms. For example, recently credit reporting company Equifax experienced a data breach in which driver’s license numbers were stolen from nearly 150 million customers. The have also been several other breaches at major multinational corporations such as Target, Sony and Costco. Warnings of data theft by way of the Huawei phone technology have been given by the U.S., linking the Chinese company to its government, long accused of stealing government data. The energy sector and its electric grid has also been a noted target in recent years. As a result, private and public sector cybersecurity improvements have been prioritized by U.S. national security agencies.

 

How would you rate the threat of cyberattacks to your security, private information or livelihood?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Employment Opportunities

 

Now approaching a decade since the worst of the 2008 financial crisis, a steady recovery in the United States has brought a return of modest, sustained economic growth averaging roughly two percent annually, along with rising wage growth of over three percent. While rapid technological advancement has brought new efficiency and growth opportunities to many segments of the economy, many geographic areas and industries also face difficulties competing in global markets and continuing to provide economic opportunities. Overall, however, the unemployment rate has reached a decade-low of close to four percent one year into the Donald Trump presidency, a level lower than pre-crisis unemployment and considered by some economists to be full employment.

 

How do you feel about the general employment outlook for Americans over the next two decades?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Education Value



 

When evaluating the state of American secondary education--high-school level and above--the country has had mixed results in improving outcomes for its students, particularly over the last two decades. At the high school level, the national average graduation rate has risen to its highest point ever as of 2016 at 84%, up five percentage points from 2011. Meanwhile, standardized test scores have remained flat while continuing to fall relative to students in Asian countries, especially in STEM studies (Science, Technology, Engineering and Math). With more high school graduates, college attendance has continued to grow at a high rate, with over 20 million active undergraduate students in 2017, up from 15 million students in 2000. This growth in attendance has contributed to a similarly large increase in the price of college education, up over 50% on average since 2000 (after inflation), and an increase in student debt of $1 trillion in the last decade. College graduation rates still lag far behind many other developed nations with only 47% of adults aged 25-34 holding at least an associate's degree.

 

How do you feel about how the education system is preparing students to enter the workforce?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Retirement Savings 



Among competing priorities of paying for education, a home, medical treatment, and many other necessities of life--particularly when raising a family--saving for retirement often falls toward the bottom of the list. Although many employers have moved to attract talented employees by contributing to retirement funds such as 401(k) accounts, historical market volatility can still add to this anxiety: as we saw in 2000-2001 as well as 2008-2009, stock market crashes and ensuing economic decline can very quickly lead to substantial drops in retirement savings for many Americans. On the other hand, we have seen rapid expansions as well, with total stock indexes growing over 20% in Trump's first year as president. This volatility in equities has been coupled with historically-low interest rates over the last decade, leading to low returns for fixed income earners.



How do you feel about your prospects for saving enough for retirement?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Cybersecurity Threats 



With recent advancements in computational technology and access to electronics and internet connectivity, there are new cybersecurity threats to many nations and their peoples around the world. In the United States over the last several years alone, there have been numerous attempts, some successful, by foreign actors to steal private and government data and disrupt societal norms. For example, recently credit reporting company Equifax experienced a data breach in which driver’s license numbers were stolen from nearly 150 million customers. The have also been several other breaches at major multinational corporations such as Target, Sony and Costco. Warnings of data theft by way of the Huawei phone technology have been given by the U.S., linking the Chinese company to its government, long accused of stealing government data. The energy sector and its electric grid has also been a noted target in recent years. As a result, private and public sector cybersecurity improvements have been prioritized by the Trump administration.



How would you rate the threat of cyberattacks to your security, private information or livelihood?",What is your gender?,What is your age?,What is the highest level of education you have completed?,What is your current employment status?,What is your marital status?,Which zip code do you currently live in?,Which community are you currently living?,Are you currently registered to vote?,What is your political preference?,What is your ethnicity?,What is your income?,Do you have kids?,How frequently do you access the internet from your mobile phone?,How frequently do you access the internet from your home?,How frequently do you access the internet from your work?,Who pays for your internet access?,mTurkCode,Q6 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID28_FIRST_CLICK""}","{""ImportId"":""QID28_LAST_CLICK""}","{""ImportId"":""QID28_PAGE_SUBMIT""}","{""ImportId"":""QID28_CLICK_COUNT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID30_FIRST_CLICK""}","{""ImportId"":""QID30_LAST_CLICK""}","{""ImportId"":""QID30_PAGE_SUBMIT""}","{""ImportId"":""QID30_CLICK_COUNT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID22_FIRST_CLICK""}","{""ImportId"":""QID22_LAST_CLICK""}","{""ImportId"":""QID22_PAGE_SUBMIT""}","{""ImportId"":""QID22_CLICK_COUNT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID23_FIRST_CLICK""}","{""ImportId"":""QID23_LAST_CLICK""}","{""ImportId"":""QID23_PAGE_SUBMIT""}","{""ImportId"":""QID23_CLICK_COUNT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID24_FIRST_CLICK""}","{""ImportId"":""QID24_LAST_CLICK""}","{""ImportId"":""QID24_PAGE_SUBMIT""}","{""ImportId"":""QID24_CLICK_COUNT""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID25_FIRST_CLICK""}","{""ImportId"":""QID25_LAST_CLICK""}","{""ImportId"":""QID25_PAGE_SUBMIT""}","{""ImportId"":""QID25_CLICK_COUNT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID39""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""QID13_TEXT_7a54a0303f7348c4a6ef0b62Topics""}"
2018-04-02 19:49:52,2018-04-02 19:53:20,IP Address,206.255.209.119,100,208,True,2018-04-02 19:53:21,R_3fw4CrPXojfS4lg,,,,,35.232696533203,-91.70539855957,anonymous,EN,Yes,34.676,36.958,41.668,3,100,19.646,24.856,26.828,5,74,27.174,30.118,30.53,4,27,27.566,31.122,33.158,4,60,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,Some college,Employed full time,Never married,72143,Suburban,No,Middle/Independent,White,"Less than $10,000",No,Daily,Daily,Monthly,Other,8777160,
2018-04-02 19:49:57,2018-04-02 19:54:58,IP Address,75.27.4.111,100,301,True,2018-04-02 19:54:58,R_3s09Ry01H4q1DlF,,,,,39.78759765625,-85.971900939941,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,41.386,41.386,43.05,1,100,69.474,69.474,71.346,1,40,39.28,39.28,40.342,1,76,24.638,24.638,43.682,1,76,Male,35 - 44,2 year degree,Employed full time,Married,46226,Urban,Yes,Right/Republican,White,"$40,000 - $49,999",Yes,Daily,Daily,Daily,Self/Spouse,3962379,
2018-04-02 19:55:13,2018-04-02 19:58:12,IP Address,64.53.241.118,100,178,True,2018-04-02 19:58:13,R_AalfWwQsGccm2dz,,,,,41.603302001953,-87.754699707031,anonymous,EN,Yes,25.183,25.183,27.143,1,24,16.699,17.507,27.781,2,14,16.733,16.733,28.087,1,20,30.481,30.834,31.946,2,71,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,4 year degree,Employed part time,Never married,60453,Suburban,Yes,Left/Democrat,White,"$30,000 - $39,999",No,Daily,Daily,Never,Self/Spouse,3338753,
2018-04-02 19:55:12,2018-04-02 19:58:47,IP Address,76.168.192.5,100,215,True,2018-04-02 19:58:48,R_1mmFTMQ7uyygdNr,,,,,34.043792724609,-118.18740081787,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,9.24,10.189,43.606,2,16,8.376,10.654,28.45,3,8,10.57,13.682,26.619,2,62,12.739,15.314,26.666,3,78,Male,25 - 34,4 year degree,Employed full time,Married,90031,Urban,Yes,Middle/Independent,White,"$50,000 - $59,999",No,Daily,Daily,Daily,Self/Spouse,602183,
2018-04-02 19:52:18,2018-04-02 20:00:33,IP Address,73.124.28.167,100,494,True,2018-04-02 20:00:34,R_2VfEDnK0r3tRO3F,,,,,25.890396118164,-80.239196777344,anonymous,EN,Yes,5.26,173.714,174.067,5,80,131.658,131.658,132.758,1,27,13.879,13.879,26.513,1,92,3.835,28.641,29.711,6,10,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,2 year degree,Student,Never married,33147,Urban,Yes,Left/Democrat,Other,"$10,000 - $19,999",No,Daily,Daily,Daily,Parents,6889370,
2018-04-02 19:58:53,2018-04-02 20:02:39,IP Address,174.96.226.62,100,226,True,2018-04-02 20:02:40,R_1HhEarRIpLEYppj,,,,,41.398895263672,-83.653900146484,anonymous,EN,Yes,11.913,27.977,28.703,2,65,26.826,26.826,27.886,1,55,17.409,17.409,27.41,1,80,18.032,18.032,27.947,1,35,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,2 year degree,Employed full time,Never married,43450,Suburban,Yes,Right/Republican,White,"$20,000 - $29,999",No,Daily,Daily,Daily,Self/Spouse,8234418,
2018-04-02 19:58:07,2018-04-02 20:03:37,IP Address,104.238.32.208,100,329,True,2018-04-02 20:03:38,R_3EhV26LKGuhvL8y,,,,,38.72590637207,-75.16780090332,anonymous,EN,Yes,1.205,51.583,52.744,5,82,2.475,65.74,67.182,4,35,2.263,51.265,52.262,2,27,1.936,56.259,57.333,2,70,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,4 year degree,Employed full time,Never married,91304,Suburban,Yes,Left/Democrat,Black or African American,"$40,000 - $49,999",No,Daily,Daily,Daily,Self/Spouse,6712268,
2018-04-02 20:04:08,2018-04-02 20:10:37,IP Address,104.36.91.21,100,389,True,2018-04-02 20:10:37,R_UN5Ulq7QZFipItP,,,,,36.414596557617,-89.139602661133,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,52.967,57.394,58.902,4,90,81.119,88.003,89.368,4,19,45.122,47.559,48.878,2,64,60.953,66.579,68.155,4,71,Female,55 - 64,Professional degree,Employed full time,Married,38261,Rural,Yes,Right/Republican,White,"$100,000 - $149,999",Yes,Daily,Daily,Daily,Self/Spouse,5820605,
